"new_dust_label","scan_name","new_center_x","new_center_y","new_radius","new_center_z","scan_order","cluster"
13,"scan-010.x3p",241.5,396.5,86.1278120005379,-0.0831427201628685,-10,"13"
14,"scan-010.x3p",2282.5,374.5,19.0262975904404,-0.105513013899326,-10,"9"
15,"scan-010.x3p",281.5,213.5,20.3960780543711,-0.101892165839672,-10,"10"
16,"scan-010.x3p",1138.5,129.5,21.0237960416286,-0.116526752710342,-10,"11"
17,"scan-010.x3p",284.5,12.5,20.0249843945008,-0.120527297258377,-10,"10"
1,"scan-011.x3p",2357.5,1966.5,99.3227063666713,0.492887318134308,-11,"22"
2,"scan-011.x3p",168.5,1871.5,15.1327459504216,0.140510722994804,-11,"16"
3,"scan-011.x3p",2357.5,1840.5,120.440856855139,0.472558736801147,-11,"23"
4,"scan-011.x3p",1789.5,1805.5,21.5870331449229,0.175121426582336,-11,"17"
5,"scan-011.x3p",2348.5,1662.5,26.9258240356725,0.427803456783295,-11,"20"
7,"scan-011.x3p",812.5,1150.5,19.4164878389476,-0.0104939294978976,-11,"2"
8,"scan-011.x3p",996.5,959.5,14.142135623731,-0.0526092201471329,-11,"5"
9,"scan-011.x3p",1626.5,856.5,17.0880074906351,-0.0486078336834908,-11,"7"
10,"scan-011.x3p",170.5,852.5,103.40696301507,-0.0867069214582443,-11,"8"
11,"scan-011.x3p",249.5,620.5,21.5870331449229,-0.118528805673122,-11,"12"
13,"scan-011.x3p",282.5,554.5,20.2237484161567,-0.127287313342094,-11,"12"
14,"scan-011.x3p",263.5,404.5,55.2268050859363,-0.149122938513756,-11,"13"
15,"scan-011.x3p",353.5,338.5,10.1980390271856,-0.162321358919144,-11,"13"
16,"scan-011.x3p",278.5,313.5,89.2020179143947,-0.163066700100899,-11,"13"
17,"scan-011.x3p",1604.5,287.5,9,-0.161051273345947,-11,"15"
18,"scan-011.x3p",139.5,167.5,39.2173431022552,-0.185998305678368,-11,"10"
19,"scan-011.x3p",323.5,130.5,21.2132034355964,-0.185429364442825,-11,"10"
20,"scan-011.x3p",1165.5,70.5,21.3775583264319,-0.189044803380966,-11,"11"
1,"scan-012.x3p",193.5,2043.5,15.2643375224737,0.131380423903465,-12,"1"
2,"scan-012.x3p",179.5,1974.5,16.2788205960997,0.117264650762081,-12,"1"
3,"scan-012.x3p",60.5,1964.5,48.7647413609464,0.124885872006416,-12,"16"
4,"scan-012.x3p",2185.5,1958.5,10.1980390271856,0.0931477695703506,-12,"22"
5,"scan-012.x3p",1782.5,1871.5,20.2237484161567,0.0862672254443169,-12,"17"
6,"scan-012.x3p",57.5,1851.5,59.3632883186233,0.114264331758022,-12,"18"
7,"scan-012.x3p",56.5,1534.5,121.69634341261,0.0913889706134796,-12,"19"
8,"scan-012.x3p",2403.5,1531.5,10.295630140987,0.0140055380761623,-12,"20"
9,"scan-012.x3p",2279.5,1494.5,26.4196896272458,0.0249948147684336,-12,"20"
10,"scan-012.x3p",1741.5,1495.5,9.05538513813742,0.0279592126607895,-12,"24"
11,"scan-012.x3p",1955.5,1430.5,57.1401785086466,0.0194986462593079,-12,"25"
12,"scan-012.x3p",64.5,1414.5,14.0356688476182,0.0550315678119659,-12,"3"
13,"scan-012.x3p",2292.5,1415.5,25.298221281347,0.00413005007430911,-12,"20"
14,"scan-012.x3p",58.5,1349.5,87.2066511224918,0.0581962801516056,-12,"3"
15,"scan-012.x3p",789.5,1228.5,21.2132034355964,0.0210495069622993,-12,"2"
16,"scan-012.x3p",60.5,1188.5,108.295890965447,0.0418720506131649,-12,"4"
